source name,ra,dec,redshift,distance/Mpc,size/arcsec,FWHM/km/s
NGC6240,16:52:58.86,02:24:03.55,0.02353,103.1,8.6,360
Arp193,13:20:35.34,+34:08:22.2,0.023056,105,2.9,300
